"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon","doubles","moved"
"","Coles Amaroo","Horse Park Drive","Amaroo","11/09/2021 - Saturday","10:50am","11:05am","Monitor",-35.1646128,149.1318066,"",FALSE
"","Woolworths Mawson","15 Mawson Place","Mawson","11/09/2021 - Saturday","5:15pm","6:15pm","Casual",-35.3661449,149.0947696,"",FALSE
"","7-Eleven Mawson","1 Mawson Place","Mawson","11/09/2021 - Saturday","12:25pm","1:30pm","Casual",-35.365172,149.0936873,"",FALSE
"","Narrabundah Friendly Grocer","6 Iluka Street","Narrabundah","11/09/2021 - Saturday","9:05am","9:50am","Monitor",-35.3325783,149.1540734,"",FALSE
"","Woolworths Mawson","15 Mawson Place","Mawson","11/09/2021 - Saturday","12:50pm","1:40pm","Monitor",-35.3661449,149.0946696,"",FALSE
"","Woolworths Metro Hawker","Springvale Drive","Hawker","11/09/2021 - Saturday","7:20pm","8:10pm","Monitor",-35.2433647,149.0441742,"",FALSE
"","Woolworths Woden","Westfield Woden, Keltie Street","Phillip","11/09/2021 - Saturday","3:30pm","5:00pm","Casual",-35.345964,149.084759,"",FALSE
"","Tuggeranong Discount Drug Store","17 Anketell Street","Greenway","11/09/2021 - Saturday","3:10pm","3:50pm","Monitor",-35.4168087,149.0678945,"",FALSE
"","The Pharmacy on Petrie","148 Bunda Street","Canberra City","11/09/2021 - Saturday","4:30pm","6:00pm","Monitor",-35.2788096,149.1335326,"",FALSE
"","Narrabundah Friendly Grocer","6 Iluka Street","Narrabundah","11/09/2021 - Saturday","3:10pm","4:00pm","Casual",-35.3325783,149.1539484,"",FALSE
"","Narrabundah Friendly Grocer","6 Iluka Street","Narrabundah","11/09/2021 - Saturday","6:00pm","6:45pm","Casual",-35.3325783,149.1538984,"",FALSE
"","Lucky's Speed Shop","4/9 Yallourn Street","Fyshwick","11/09/2021 - Saturday","12:00pm","2:30pm","Close",-35.3325915,149.1693528,"",FALSE
"","EG Fuel Conder","Tharwa Drive","Conder","11/09/2021 - Saturday","11:50am","12:30pm","Monitor",-35.4582538,149.0916791,"",FALSE
"","Woolworths Conder","Lanyon Marketplace, 4 Sidney Nolan Street","Conder","11/09/2021 - Saturday","2:20pm","3:10pm","Casual",-35.457644,149.092436,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Fresh Seafood  Canberra, Casey","15 Kingsland Parade","Casey","11/09/2021 - Saturday","1:20pm","2:20pm","Monitor",-35.1743655,149.0953865,"",FALSE
"","Sea Harvest Belconnen","10 Lathlain Street","Belconnen","11/09/2021 - Saturday","1:50pm","2:50pm","Casual",-35.2458789,149.0654736,"",FALSE
"","Market Meats Belconnen","Belconnen Fresh Food Markets, Lathlain Street","Belconnen","11/09/2021 - Saturday","2:10pm","3:10pm","Casual",-35.2452107,149.0654823,"",FALSE
"","ALDI Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","11/09/2021 - Saturday","3:00pm","3:55pm","Casual",-35.2380765,149.0650422,"",FALSE
"","Oporto Phillip","82 Parramatta Street","Phillip","11/09/2021 - Saturday","8:35pm","9:20pm","Monitor",-35.35521,149.0903394,"",FALSE
"New","Supabarn Casey","15 Kingsland Parade","Casey","11/09/2021 - Saturday","5:45pm","7:00pm","Casual",-35.1741413,149.0960254,"",FALSE
"New","Bus Route 4 Transport Canberra Code BUS671","City Interchange to Woden Interchange","Public Transport","11/09/2021 - Saturday","10:27am","10:41am","Casual",-35.2784467,149.1303294,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Two Before Ten Aranda","69 Bandjalong Crescent","Aranda","10/09/2021 - Friday","10:25am","11:10am","Monitor",-35.2564051,149.078765,"",FALSE
"","BWS Erindale","50-68 Comrie Street","Wanniassa","10/09/2021 - Friday","10:25am","11:05am","Monitor",-35.4037618,149.0986845,"",FALSE
